name,price,rating,link
Sushi Tsukiuda ,23100,,https://pocket-concierge.jp/en/restaurants/244615?seat_date_eq=2023-04-23
S'accapau,18150,,https://pocket-concierge.jp/en/restaurants/244097?seat_date_eq=2023-04-23
Ginza Toriya Premium,8000,,https://pocket-concierge.jp/en/restaurants/244643?seat_date_eq=2023-04-23
Kioicho Momonoki,18150,,https://pocket-concierge.jp/en/restaurants/244058?seat_date_eq=2023-04-23
abysse,14520,,https://pocket-concierge.jp/en/restaurants/244675?seat_date_eq=2023-04-23
Saryo Miyasaka,6050,,https://pocket-concierge.jp/en/restaurants/244627?seat_date_eq=2023-04-23
Sushi Mizuno,16500,3.14,https://pocket-concierge.jp/en/restaurants/244671?seat_date_eq=2023-04-23
HOMMAGE,15400,,https://pocket-concierge.jp/en/restaurants/243687?seat_date_eq=2023-04-23
Matsuzaka Ushi Kaiseki Shin,12000,,https://pocket-concierge.jp/en/restaurants/244663?seat_date_eq=2023-04-23
NéMo,9075,,https://pocket-concierge.jp/en/restaurants/245266?seat_date_eq=2023-04-23
KIRAMEKI,12000,,https://pocket-concierge.jp/en/restaurants/245089?seat_date_eq=2023-04-23
Nishi-Azabu Sushi Ichi,18150,,https://pocket-concierge.jp/en/restaurants/244425?seat_date_eq=2023-04-23
Akiyama,17820,,https://pocket-concierge.jp/en/restaurants/244450?seat_date_eq=2023-04-23
Ginza Shin Fu En,9680,,https://pocket-concierge.jp/en/restaurants/244393?seat_date_eq=2023-04-23
Chiso Fufu,12100,3.37,https://pocket-concierge.jp/en/restaurants/244204?seat_date_eq=2023-04-23
Kifuu,19360,,https://pocket-concierge.jp/en/restaurants/243745?seat_date_eq=2023-04-23
Hitsumabushi Nagoya Bincho Marronnier Gate Ginza 1 Location,6850,,https://pocket-concierge.jp/en/restaurants/245011?seat_date_eq=2023-04-23
Kappo Ichika,10395,,https://pocket-concierge.jp/en/restaurants/244040?seat_date_eq=2023-04-23
Jour de Marche,6600,,https://pocket-concierge.jp/en/restaurants/243924?seat_date_eq=2023-04-23
SALONE TOKYO,8470,,https://pocket-concierge.jp/en/restaurants/244446?seat_date_eq=2023-04-23
Yakitori TORI bien,4700,3.53,https://pocket-concierge.jp/en/restaurants/244261?seat_date_eq=2023-04-23
Nanzenji Hyotei Hibiya,20570,,https://pocket-concierge.jp/en/restaurants/244531?seat_date_eq=2023-04-23
Zakuro Ginza,4840,,https://pocket-concierge.jp/en/restaurants/245034?seat_date_eq=2023-04-23
Moto TOKYO,,3.63,https://pocket-concierge.jp/en/restaurants/244042?seat_date_eq=2023-04-23
Toscaneria,7260,,https://pocket-concierge.jp/en/restaurants/243899?seat_date_eq=2023-04-23
CRAFTALE,16500,,https://pocket-concierge.jp/en/restaurants/244376?seat_date_eq=2023-04-23
Kaika,11495,,https://pocket-concierge.jp/en/restaurants/244114?seat_date_eq=2023-04-23
Ristorante i-lunga,5280,,https://pocket-concierge.jp/en/restaurants/244687?seat_date_eq=2023-04-23
Haramasa ,12100,3.98,https://pocket-concierge.jp/en/restaurants/243859?seat_date_eq=2023-04-23
Kiwa,18000,3.50,https://pocket-concierge.jp/en/restaurants/244906?seat_date_eq=2023-04-23
Daikanyama Sansho,36300,,https://pocket-concierge.jp/en/restaurants/244330?seat_date_eq=2023-04-23
Makiyaki Ginza Onodera,7700,,https://pocket-concierge.jp/en/restaurants/244977?seat_date_eq=2023-04-23
ÉdiTioN Koji Shimomura,15730,,https://pocket-concierge.jp/en/restaurants/243876?seat_date_eq=2023-04-23
Wagyu Yakiniku KIM,12500,,https://pocket-concierge.jp/en/restaurants/244048?seat_date_eq=2023-04-23
il Pregio,8833,,https://pocket-concierge.jp/en/restaurants/243900?seat_date_eq=2023-04-23
L'Octave Hayato KOBAYASHI,16000,,https://pocket-concierge.jp/en/restaurants/244218?seat_date_eq=2023-04-23
Les Copains de Dominique Bouchet,4950,,https://pocket-concierge.jp/en/restaurants/244264?seat_date_eq=2023-04-23
Ristorante HONDA,20328,,https://pocket-concierge.jp/en/restaurants/243791?seat_date_eq=2023-04-23
Kamatsuda,,,https://pocket-concierge.jp/en/restaurants/244414?seat_date_eq=2023-04-23
Okamoto,36300,,https://pocket-concierge.jp/en/restaurants/245226?seat_date_eq=2023-04-23
L'EAU,8470,,https://pocket-concierge.jp/en/restaurants/244629?seat_date_eq=2023-04-23
IL TEATRINO DA SALONE,11495,,https://pocket-concierge.jp/en/restaurants/243657?seat_date_eq=2023-04-23
BON CHEMIN,3630,,https://pocket-concierge.jp/en/restaurants/243686?seat_date_eq=2023-04-23
OHARA ET CIE,,,https://pocket-concierge.jp/en/restaurants/243863?seat_date_eq=2023-04-23
Patous,16500,3.72,https://pocket-concierge.jp/en/restaurants/245232?seat_date_eq=2023-04-23
recte,18150,,https://pocket-concierge.jp/en/restaurants/244158?seat_date_eq=2023-04-23
Tempura Yamanoue Roppongi,,,https://pocket-concierge.jp/en/restaurants/244993?seat_date_eq=2023-04-23
BISTRO Couplet,,,https://pocket-concierge.jp/en/restaurants/244168?seat_date_eq=2023-04-23
Sangoan,7370,3.46,https://pocket-concierge.jp/en/restaurants/3315?seat_date_eq=2023-04-23
TRADER VIC'S TOKYO,40150,,https://pocket-concierge.jp/en/restaurants/245088?seat_date_eq=2023-04-23
ABASQUE Itsas eta Mendi,,,https://pocket-concierge.jp/en/restaurants/14033?seat_date_eq=2023-04-23
Fukushima,30250,,https://pocket-concierge.jp/en/restaurants/244141?seat_date_eq=2023-04-23
Okon,8800,,https://pocket-concierge.jp/en/restaurants/243921?seat_date_eq=2023-04-23
MINAMIAOYAMA Essence,14080,,https://pocket-concierge.jp/en/restaurants/16027?seat_date_eq=2023-04-23
Kanton Meisai Akasaka Rikyu Restaurant,12100,,https://pocket-concierge.jp/en/restaurants/244291?seat_date_eq=2023-04-23
Itamae Sushi Akasaka,5500,,https://pocket-concierge.jp/en/restaurants/245031?seat_date_eq=2023-04-23
Yoyogi-Uehara Yuu,11000,3.40,https://pocket-concierge.jp/en/restaurants/244073?seat_date_eq=2023-04-23
Simplicité,21780,,https://pocket-concierge.jp/en/restaurants/244281?seat_date_eq=2023-04-23
Ristorante ACQUA PAZZA,13000,,https://pocket-concierge.jp/en/restaurants/244155?seat_date_eq=2023-04-23
Le Beaucoup,3630,,https://pocket-concierge.jp/en/restaurants/244069?seat_date_eq=2023-04-23
Sakuragi,20000,,https://pocket-concierge.jp/en/restaurants/245385?seat_date_eq=2023-04-23
Petit Restaurant La Rêve,6050,,https://pocket-concierge.jp/en/restaurants/244825?seat_date_eq=2023-04-23
Hachiyama,17600,,https://pocket-concierge.jp/en/restaurants/244227?seat_date_eq=2023-04-23
Tempura Karasawa,23000,,https://pocket-concierge.jp/en/restaurants/244837?seat_date_eq=2023-04-23
Sudachi,5500,,https://pocket-concierge.jp/en/restaurants/244174?seat_date_eq=2023-04-23
SIGNATURE,12144,,https://pocket-concierge.jp/en/restaurants/244782?seat_date_eq=2023-04-23
Fudomae Sushi Iwasawa,22000,3.75,https://pocket-concierge.jp/en/restaurants/244154?seat_date_eq=2023-04-23
Oryouri shibuu ,36300,,https://pocket-concierge.jp/en/restaurants/244306?seat_date_eq=2023-04-23
Restaurant REIMS YANAGIDATE,5445,,https://pocket-concierge.jp/en/restaurants/244180?seat_date_eq=2023-04-23
Akasaka Ninomae,27500,,https://pocket-concierge.jp/en/restaurants/244971?seat_date_eq=2023-04-23
XEX ATAGO GREEN HILLS,6380,,https://pocket-concierge.jp/en/restaurants/245065?seat_date_eq=2023-04-23
Ebisu Kyoshizuku,12100,,https://pocket-concierge.jp/en/restaurants/243689?seat_date_eq=2023-04-23
Restaurant TOYO Tokyo,5940,,https://pocket-concierge.jp/en/restaurants/244343?seat_date_eq=2023-04-23
Aligoteur Que du bonheur,26618,3.75,https://pocket-concierge.jp/en/restaurants/244783?seat_date_eq=2023-04-23
BLT STEAK GINZA,12100,,https://pocket-concierge.jp/en/restaurants/245068?seat_date_eq=2023-04-23
Restaurant Yamauchi ,12100,,https://pocket-concierge.jp/en/restaurants/244437?seat_date_eq=2023-04-23
Sushi Riku,25000,,https://pocket-concierge.jp/en/restaurants/244483?seat_date_eq=2023-04-23
Sushi Shin by Miyakawa,25300,3.07,https://pocket-concierge.jp/en/restaurants/244735?seat_date_eq=2023-04-23
Wadakura,7590,,https://pocket-concierge.jp/en/restaurants/244956?seat_date_eq=2023-04-23
"""Kaiseki"" Fuji",13310,3.15,https://pocket-concierge.jp/en/restaurants/244060?seat_date_eq=2023-04-23
H acca,13000,3.70,https://pocket-concierge.jp/en/restaurants/245252?seat_date_eq=2023-04-23
AMOUR,12100,,https://pocket-concierge.jp/en/restaurants/244170?seat_date_eq=2023-04-23
Kintsuta Roppongi ,5775,,https://pocket-concierge.jp/en/restaurants/244222?seat_date_eq=2023-04-23
Paris Yugao,7700,,https://pocket-concierge.jp/en/restaurants/245018?seat_date_eq=2023-04-23
Prévenance,8800,,https://pocket-concierge.jp/en/restaurants/244700?seat_date_eq=2023-04-23
Ristorante Drammatico,10010,,https://pocket-concierge.jp/en/restaurants/244011?seat_date_eq=2023-04-23
l'intemporel,7700,,https://pocket-concierge.jp/en/restaurants/244272?seat_date_eq=2023-04-23
Remerciements OKAMOTO,6050,,https://pocket-concierge.jp/en/restaurants/243846?seat_date_eq=2023-04-23
